pupilid,wordscore,sentscore,letterscore,spellscore,additions_score,substractions_score,multiplications_score
4361052,0,0,3,0,0,0,0
4361053,22,28,66,8,8,6,1
4361054,0,1,0,4,4,4,0
4361055,14,10,37,8,6,5,1
4361056,0,8,0,0,0,0,0
4361057,2,3,28,5,5,5,2
4361058,18,0,52,7,7,5,3
4361060,0,0,22,7,4,4,3
4361061,0,28,57,8,5,3,0
4361063,14,12,27,6,5,4,1
4361067,0,10,53,7,8,6,1
4361068,12,2,38,6,5,3,3
4361071,20,14,36,7,5,5,3
4361072,16,3,27,8,5,5,0
4431002,2,1,26,1,3,5,0
4431003,0,0,42,5,3,5,2
4431005,20,9,48,8,3,2,0
4431008,0,0,17,0,0,0,0
4431009,0,1,16,2,3,3,0
4431010,18,5,54,7,7,5,1
4431012,17,2,35,7,4,5,0
4431018,2,0,13,0,2,2,0
4431020,0,7,20,0,4,2,1
4431021,0,4,0,0,3,2,0
4431022,6,0,18,4,4,1,0
4431023,0,0,19,1,3,3,0
4431027,14,0,26,8,4,4,2
4431028,3,1,31,7,2,4,0
4431029,20,9,42,8,4,5,3
4431030,1,2,4,0,0,0,0
4431033,4,1,28,3,0,1,0
4431036,0,0,10,0,3,3,0
4431042,8,0,9,0,2,0,0
4431043,0,0,9,0,0,1,0
4431044,6,2,23,0,3,3,0
4431046,1,0,26,0,3,5,1
4431049,0,2,15,0,1,1,0
4431051,16,15,64,7,4,3,2
4431054,24,11,43,8,4,3,3
4431056,2,4,29,7,4,4,0
4431057,22,1,40,8,5,4,0
4431059,0,0,0,0,0,0,0
4431060,1,0,8,0,2,2,0
4431062,0,5,6,0,2,2,0
4431063,6,0,26,0,1,0,0
4431064,2,0,19,0,5,6,3
4431068,8,0,27,1,3,2,0
4431070,0,0,18,6,3,4,0
4431071,20,6,25,5,7,5,3
4431072,0,5,16,5,2,5,0
4431073,3,2,33,1,7,5,2
4431076,24,18,53,8,3,4,0
4431077,0,1,27,3,5,4,2
4431078,0,0,0,0,3,2,0
4431080,6,0,4,0,2,1,0
4431081,3,0,17,2,5,5,0
4431088,0,0,10,0,0,0,0
4431089,18,19,37,9,8,6,3
4431090,24,18,28,7,5,6,0
4431091,2,7,25,1,2,4,0
4431095,20,0,18,4,7,6,3
4431096,22,6,36,9,4,5,0
4431097,0,1,0,0,2,1,0
4431596,0,3,0,0,3,3,0
4511004,0,6,49,5,5,6,3
4511006,0,1,1,0,2,1,0
4511007,4,0,0,0,0,0,0
4511008,0,7,10,0,2,0,0
4511010,1,5,21,0,2,2,0
4511012,2,0,28,0,0,0,0
4511015,0,5,0,0,3,0,0
4511016,0,6,2,0,2,0,0
4511017,0,6,41,0,1,5,2
4511019,0,3,2,0,3,2,1
4511020,0,8,0,0,1,0,0
4511033,0,10,0,0,2,0,0
4511036,0,2,0,0,0,0,1
4511040,0,12,8,0,7,5,0
4511045,0,0,11,0,3,5,3
4511046,0,6,18,0,3,3,2
4511051,0,0,2,0,0,0,0
4511052,0,0,7,0,0,0,0
4511053,0,5,17,0,2,1,0
4511054,0,6,30,0,7,6,0
4511055,0,1,0,0,0,0,0
4511056,8,0,22,0,5,4,3
4511060,0,0,12,0,3,2,0
4511064,0,6,17,0,4,3,0
4511065,0,0,7,0,3,3,0
4511067,0,0,0,0,1,0,0
4511069,0,4,24,0,0,2,0
4511070,0,0,6,0,3,4,2
4511074,0,0,0,0,3,1,0
4511076,0,6,13,0,1,0,0
4511081,0,0,4,0,0,1,0
4511084,6,8,6,0,0,4,3
4511086,0,4,20,0,1,0,0
4511090,0,0,4,0,5,1,0
4511093,8,0,16,0,3,1,0
4511095,0,0,0,0,1,0,0
4511096,0,8,5,0,1,0,0
4511097,0,4,2,0,1,0,0
4511101,2,0,22,0,2,4,0
4511107,0,0,25,0,4,5,1
4511521,5,0,44,0,3,2,0
4521003,0,8,9,0,2,1,0
4521008,0,0,0,0,0,0,0
4521009,0,0,12,1,0,0,0
4521010,0,0,6,0,2,3,0
4521012,0,0,23,1,5,6,2
4521014,8,8,0,0,1,0,0
4521018,0,0,0,0,0,0,0
4521019,0,18,8,0,1,1,0
4521023,4,0,31,7,7,5,3
4521028,0,2,0,0,2,0,0
4521029,0,0,0,0,3,1,0
4521033,0,0,16,0,0,2,0
4521034,0,0,21,0,3,2,0
4521035,0,0,63,5,6,4,1
4521042,8,2,2,0,5,2,3
4521043,0,0,27,0,3,1,0
4521045,0,7,0,0,0,0,0
4521048,2,0,0,0,4,6,3
4521049,0,0,10,0,3,2,0
4521053,0,3,22,3,3,4,0
4521057,0,6,53,0,2,4,0
4521058,16,0,25,4,4,2,1
4521066,0,0,19,1,5,6,2
4521067,0,6,54,4,5,5,3
4521068,2,0,50,1,5,2,2
4521070,0,0,0,0,3,2,0
4521071,22,2,54,8,4,6,2
4521072,0,0,56,0,5,5,3
4521073,0,0,20,0,2,2,0
4521081,0,0,24,0,5,5,3
4521084,0,0,0,0,2,4,0
4521088,0,0,30,1,7,5,2
4521090,0,0,31,0,2,0,0
4521094,0,1,13,1,3,4,1
4521096,8,0,14,0,6,5,2
4521097,22,5,61,5,7,5,0
4521109,2,7,7,0,2,3,0
4521110,0,8,17,0,3,3,2
4521111,0,0,7,0,5,3,2
4521118,6,0,4,0,6,4,0
4521119,0,0,21,0,3,5,0
4521120,8,0,23,3,4,6,1
4521125,10,6,32,2,5,4,0
4521127,2,1,27,0,0,0,0
4521129,22,19,51,6,4,5,0
4521134,0,3,19,0,5,6,0
4521138,18,0,32,6,3,5,0
4521141,0,2,32,4,4,5,0
4521146,0,0,24,1,5,6,1
4561005,0,0,0,0,1,1,0
4561008,0,7,1,0,0,0,0
4561009,0,0,0,0,0,0,0
4561013,0,0,1,0,0,0,0
4561015,0,0,0,0,0,0,0
4561016,0,0,0,0,0,0,0
4561018,2,6,5,0,0,1,0
4561019,0,10,1,0,0,0,0
4561020,0,7,2,0,2,2,0
4561029,0,0,0,0,3,1,0
4561031,0,6,1,0,3,0,0
4561034,0,0,1,0,2,0,0
4561037,0,0,1,0,0,1,0
4561039,0,8,4,0,1,1,0
4561040,2,0,13,0,3,0,0
4561044,0,0,0,0,1,1,0
4561045,14,0,1,0,0,0,0
4561049,0,2,1,0,0,0,0
4561054,0,0,10,0,0,0,0
4561057,0,0,15,0,0,3,0
4561058,6,4,13,0,2,1,0
4561059,0,8,1,0,4,4,3
4561061,0,0,1,0,0,0,0
4561063,0,0,8,0,4,3,3
4561072,0,10,1,0,3,2,0
4561076,0,0,2,0,0,1,0
4561077,0,4,7,0,3,1,0
4561079,0,7,1,0,2,0,0
4561090,2,0,5,0,3,5,1
4561091,3,8,23,0,4,1,0
4561093,0,8,7,0,2,3,0
4561097,0,0,19,0,3,3,0
4561099,0,0,9,0,1,3,0
4561100,0,8,0,0,4,1,0
4561102,0,0,12,0,3,1,0
4561104,0,4,32,0,3,4,2
4561110,0,6,20,0,3,5,0
4561111,0,0,12,0,5,4,1
4561113,0,7,1,0,5,1,0
4561114,0,10,30,0,3,4,3
4561117,0,0,7,0,2,4,0
4561118,0,6,14,0,2,1,0
4561123,0,4,25,0,4,4,1
4561128,0,2,1,0,2,0,0
4561129,0,6,11,0,0,0,0
4561134,0,0,9,0,2,5,0
4561135,0,0,1,0,4,1,0
4561138,2,0,3,0,2,3,0
4561140,0,4,9,0,5,5,3
4561142,0,0,16,0,4,1,0
4561144,0,0,14,0,5,6,2
4561148,0,8,7,0,4,3,0
4561154,0,0,46,0,4,5,2
4561155,0,10,21,0,5,4,0
4561156,0,8,6,0,5,5,0
4561159,0,0,23,0,6,6,2
4561160,0,8,18,0,6,6,1
4801001,0,0,0,2,7,4,1
4801003,5,12,2,0,1,1,0
4801007,0,6,17,0,5,5,0
4801008,0,0,15,0,8,5,3
4801014,0,0,0,0,4,5,0
4801021,0,2,10,0,5,5,2
4801022,0,0,7,0,6,2,0
4801024,0,7,0,0,1,0,0
4801027,0,0,0,0,5,6,1
4801029,0,4,6,0,2,3,1
4801030,0,0,0,0,2,5,0
4801031,0,0,0,0,7,3,1
4801035,0,4,5,0,6,4,0
4801037,0,0,2,0,2,2,0
4801041,0,1,5,0,4,4,1
4801042,0,2,5,0,3,5,0
4801048,4,0,0,0,4,6,0
4801050,2,0,12,3,4,3,0
4801051,0,8,0,0,1,3,0
4801054,0,5,0,0,0,1,0
4801056,6,5,4,0,3,2,0
4801057,0,0,0,0,4,5,0
4801058,2,1,0,0,3,0,0
4801061,0,7,11,0,6,5,0
4801062,0,0,6,0,3,4,0
4801063,0,4,0,1,3,6,3
4801064,0,8,0,1,5,6,2
4801067,2,1,16,0,4,4,0
4801071,0,4,19,1,5,5,0
4801072,0,1,4,0,5,4,0
4801075,0,6,0,0,6,3,0
4801081,2,5,2,0,0,0,0
4801084,0,1,4,0,4,4,0
4801085,0,6,0,0,2,2,0
4801086,6,0,3,0,7,3,0
4801090,2,6,5,0,7,6,1
4801091,0,0,15,1,4,4,3
4801092,2,0,20,2,4,5,0
4801096,0,0,0,0,4,5,0
4801097,0,2,19,1,7,3,1
4801099,0,0,0,0,1,1,0
4801101,0,4,0,1,4,2,1
4831001,22,8,38,8,6,5,1
4831004,18,1,26,6,4,6,0
4831008,10,2,17,8,6,5,0
4831009,0,6,0,0,0,0,0
4831010,10,5,33,7,5,6,2
4831012,2,0,15,4,5,6,0
4831013,4,0,14,4,2,5,3
4831019,10,2,9,1,2,0,0
4831021,0,7,2,0,2,2,0
4831022,0,0,3,0,0,0,0
4831030,8,5,6,0,0,0,0
4831034,0,1,0,0,0,0,0
4831035,0,0,12,0,0,0,0
4831038,8,2,27,6,4,4,0
4831039,18,4,27,6,7,5,3
4831040,0,0,23,4,0,4,0
4831043,0,7,0,0,0,0,0
4831048,0,6,23,0,0,0,0
4831055,0,0,15,1,4,5,2
4831056,6,0,6,3,7,3,1
4831059,12,13,70,5,3,5,1
4831060,4,4,13,1,1,1,0
4831065,0,0,0,0,0,0,0
4831067,4,3,0,0,1,2,0
4831070,2,4,0,0,0,0,0
4831072,0,0,8,0,1,1,0
4831073,20,5,36,4,7,5,3
4831078,20,3,33,7,4,4,3
4831082,4,0,27,4,4,5,1
4831083,2,0,9,2,1,0,0
4831089,0,4,7,0,2,1,0
4831091,4,0,3,3,7,6,3
4831095,0,0,10,2,3,5,1
4831096,2,2,23,3,3,4,3
4831098,4,0,9,0,2,4,1
4831100,15,0,24,5,5,1,1
4831107,0,6,16,3,0,1,0
4831108,0,0,0,0,0,0,0
4831114,0,3,10,0,1,0,0
4831124,4,0,10,1,3,4,0
4831128,0,4,21,3,4,4,2
4831131,0,6,25,0,4,2,0
4831133,0,0,6,0,2,2,0
4831140,0,8,18,3,5,4,0
4831142,0,3,9,0,3,1,0
4831145,0,7,10,1,1,2,0
4831146,1,1,42,8,2,1,1
4831147,0,3,32,5,4,4,0
4831149,0,4,11,0,7,5,1
4831152,8,0,3,1,3,3,0
4831155,0,0,10,1,3,0,0
4831158,13,0,27,4,2,5,1
4831159,4,4,25,6,5,5,2
4831162,0,0,14,1,1,5,2
4831164,10,0,6,0,1,0,0
4831166,0,0,39,0,2,3,0
4831579,4,0,9,2,6,5,2
4831585,14,5,36,8,2,5,0
4841001,2,2,7,2,0,2,0
4841002,20,21,36,7,6,3,1
4841003,2,0,17,0,2,1,0
4841004,0,5,12,0,2,3,0
4841006,24,21,59,9,8,7,2
4841007,0,0,10,1,3,4,0
4841008,0,6,5,1,3,3,0
4841009,6,6,8,7,4,2,0
4841010,0,0,13,0,5,3,0
4841011,24,27,0,10,7,4,3
4841012,20,13,49,10,8,6,2
4841013,20,9,37,8,7,6,2
4841014,22,22,64,10,6,6,1
4841015,0,20,7,0,0,2,0
4841017,24,23,29,10,5,5,1
4841018,2,14,28,0,3,3,0
4841020,20,24,19,8,5,5,2
4841021,18,8,41,7,4,4,3
4841022,22,6,34,9,5,5,0
4841023,16,9,19,5,6,5,0
4841024,0,0,10,0,3,3,0
4841025,4,0,13,2,5,2,0
4841029,18,7,4,1,4,2,2
4841030,0,0,18,6,8,5,0
4841032,10,1,42,2,2,1,0
4841033,15,2,63,10,6,4,1
4841034,22,23,69,10,7,5,1
4841036,4,0,15,0,4,4,1
4841037,20,10,36,10,5,5,3
4841040,2,0,1,2,3,0,0
4841041,22,9,33,10,3,5,0
4841042,0,4,16,0,4,4,0
4841044,24,11,35,9,5,5,0
4841046,22,11,33,9,6,5,0
4841047,20,16,34,8,5,5,2
4841048,24,26,42,9,7,5,2
4841052,0,0,10,0,4,5,1
4841053,2,6,6,0,1,0,0
4841054,24,20,49,9,5,4,3
4841055,24,6,19,8,4,4,1
4841056,12,0,33,5,5,4,0
4841057,20,1,29,6,5,4,1
4841058,8,0,18,0,3,2,0
4841059,20,8,34,5,3,4,1
4841061,12,20,25,4,7,5,3
4841062,6,0,42,5,4,3,3
4841063,1,0,19,2,6,3,1
4841064,18,8,17,2,3,2,0
4841065,0,4,14,0,3,3,0
4841066,24,28,47,10,6,5,1
4841067,0,0,11,7,4,5,0
4841068,0,5,37,5,1,4,0
4841072,10,1,23,3,5,5,2
4851002,0,0,17,2,4,4,0
4851003,22,0,32,7,7,4,3
4851006,14,0,46,5,4,4,3
4851007,0,4,11,0,3,4,0
4851009,0,0,5,0,3,3,0
4851015,0,8,18,1,3,1,0
4851017,0,1,9,0,0,0,0
4851022,4,3,19,3,2,3,0
4851023,0,0,0,0,0,0,0
4851033,10,5,31,7,4,4,0
4851034,4,9,41,6,4,3,2
4851037,22,4,42,7,7,6,2
4851038,0,0,0,0,0,0,0
4851039,20,12,39,8,4,3,2
4851040,0,0,0,0,0,0,0
4851045,0,3,0,0,0,0,0
4851046,0,1,22,5,3,5,3
4851047,0,0,12,0,5,0,0
4851053,0,7,0,0,1,1,0
4851055,0,0,0,0,0,0,0
4851059,8,1,37,6,5,4,0
4851060,10,2,40,5,5,5,1
4851061,0,7,0,0,0,0,0
4851062,0,0,0,0,0,0,0
4851064,0,3,20,4,1,2,0
4851066,10,4,17,6,5,1,1
4851069,0,4,16,1,5,4,2
4851070,1,0,9,0,5,4,0
4851071,18,24,62,6,5,2,1
4851072,0,1,30,0,3,0,0
4851073,4,14,40,4,6,5,3
4851074,6,0,24,1,3,3,0
4851081,10,0,30,4,4,5,2
4851084,0,3,0,1,3,3,0
4851085,0,6,4,0,1,0,0
4851090,0,0,15,0,0,0,0
4851091,0,8,17,0,5,3,0
4851093,20,4,58,6,0,0,0
4851095,10,1,33,7,2,5,1
4851096,0,2,5,3,1,2,0
4851097,8,0,0,0,4,3,0
4851098,0,7,0,0,0,0,0
4851099,0,2,27,0,3,4,1
4851100,0,6,0,0,0,1,0
4851103,0,0,0,0,1,0,0
4851111,14,7,49,6,3,4,3
4851113,0,2,2,0,0,0,0
4851116,0,0,0,0,2,1,0
4851118,0,10,0,3,6,5,0
4851123,0,0,9,0,2,0,0
4851125,4,3,0,0,0,0,0
4851129,0,10,11,1,5,4,0
4851131,0,1,6,1,1,0,0
4851136,0,0,0,0,3,0,0
4851503,0,1,3,0,0,0,0
4851596,10,7,8,1,1,2,0
4881001,0,0,0,0,3,5,2
4881002,0,0,33,1,5,5,3
4881007,4,0,8,1,5,2,0
4881012,0,0,0,0,2,1,0
4881014,0,9,20,1,2,0,0
4881019,1,1,0,1,1,2,0
4881020,0,0,0,0,0,2,0
4881021,4,0,9,0,4,3,0
4881023,4,8,8,1,3,5,0
4881025,0,3,17,2,6,5,2
4881026,0,0,30,0,5,6,3
4881027,4,0,15,0,6,5,1
4881031,0,0,7,1,1,1,0
4881032,22,1,30,6,5,5,0
4881033,2,0,36,2,6,6,3
4881035,1,1,0,1,0,0,0
4881036,6,4,7,2,4,3,0
4881037,0,0,10,1,3,4,2
4881038,2,0,5,0,7,3,3
4881040,0,0,9,0,6,3,0
4881041,0,0,0,0,1,0,1
4881042,0,0,11,2,4,5,2
4881046,8,0,0,0,0,0,0
4881048,6,0,39,2,6,5,3
4881049,0,4,0,0,3,3,0
4881051,18,5,62,7,7,5,3
4881052,4,0,15,0,4,4,0
4881056,0,0,23,0,1,0,0
4881057,8,0,18,0,5,6,2
4881058,8,1,0,0,4,5,1
4881059,14,5,38,5,5,4,3
4881062,4,1,8,0,6,5,0
4881063,9,0,53,6,6,3,3
4881064,0,0,67,4,4,5,3
4881065,0,1,7,0,4,1,0
4881066,0,8,18,0,3,3,1
4881071,18,1,33,4,7,3,2
4881074,0,0,16,0,5,0,0
4881075,6,7,2,0,3,1,0
4881077,0,0,14,0,4,5,0
4881079,0,0,0,0,3,3,3
4881080,0,6,16,0,2,1,1
4881081,16,0,4,2,6,5,3
4881082,4,7,39,0,4,5,3
4881085,6,0,36,3,7,6,3
4881087,8,0,0,0,4,5,1
4881088,14,0,57,6,4,4,2
4881090,22,7,47,10,8,6,3
4881092,0,2,31,1,7,3,2
4881093,8,0,30,0,3,1,2
4881094,0,0,22,0,6,5,3
4881095,14,0,41,3,5,5,3
4881097,0,3,22,0,4,4,2
4881098,0,0,16,4,2,5,1
4881099,20,12,68,5,7,5,3
4881101,18,4,33,5,4,6,0
4901001,0,0,0,0,0,0,0
4901003,0,0,1,0,0,0,0
4901004,10,0,34,1,4,6,0
4901007,2,0,0,0,6,4,0
4901009,1,0,0,0,3,3,0
4901012,0,3,6,0,2,0,0
4901014,0,0,17,0,1,1,0
4901015,0,7,18,0,3,1,0
4901016,14,6,0,0,4,1,0
4901019,0,0,0,0,0,0,0
4901022,0,8,22,0,4,5,0
4901028,0,2,12,1,4,6,3
4901030,0,0,0,0,0,0,0
4901032,0,1,13,0,3,2,0
4901035,0,6,15,1,2,1,0
4901037,0,6,18,3,1,3,0
4901038,0,0,2,0,0,0,0
4901039,0,0,19,2,5,5,3
4901040,0,16,44,7,4,5,0
4901042,0,5,8,0,3,3,0
4901043,0,14,19,0,4,5,0
4901044,0,4,19,0,5,4,0
4901046,0,5,33,0,3,4,1
4901047,4,4,8,0,5,6,0
4901049,0,0,39,1,4,5,1
4901050,16,2,31,4,6,5,0
4901055,0,8,27,2,5,5,0
4901056,3,8,44,5,3,3,0
4901057,4,4,0,0,3,4,0
4901058,2,0,25,1,3,4,0
4901059,4,6,34,1,4,5,0
4901060,0,0,11,1,3,5,0
4901061,10,20,38,8,8,5,2
4901066,8,0,14,1,7,2,0
4901067,2,0,35,4,4,5,1
4901069,6,20,14,1,4,5,0
4901070,0,0,7,0,3,3,0
4901071,0,8,5,1,4,1,0
4901075,0,6,6,1,4,3,1
4901076,0,4,22,1,5,3,0
4901078,0,0,0,1,3,3,0
4901079,20,18,51,10,4,2,1
4901081,0,6,13,1,3,3,1
4901082,0,7,13,1,5,3,1
4901083,0,0,21,1,5,5,1
4901084,2,1,26,2,6,6,3
4901085,0,5,35,1,5,4,2
4901086,0,0,2,3,4,5,3
4901087,4,6,25,3,4,5,2
4901089,4,4,19,2,3,5,1
4901093,14,7,29,4,6,5,1
4901094,0,0,17,3,4,5,0
4901095,0,0,17,1,4,4,0
4901096,18,14,55,4,4,5,0
4901100,0,5,13,2,5,6,3
4901101,0,2,29,1,5,6,1
4901102,10,32,44,10,6,5,0
4921002,0,8,0,0,2,1,0
4921006,0,0,0,0,0,0,0
4921009,0,0,1,0,0,1,0
4921010,0,0,0,0,3,2,0
4921012,0,2,0,0,0,0,0
4921013,0,0,7,0,2,1,0
4921016,0,6,0,0,1,0,0
4921023,0,0,0,0,0,0,0
4921027,0,0,1,0,2,1,0
4921030,2,8,0,0,0,0,0
4921032,0,0,1,0,1,0,0
4921036,0,3,18,0,2,5,0
4921037,0,10,13,0,3,3,0
4921038,0,6,0,0,0,1,0
4921039,6,0,8,0,4,5,3
4921041,0,0,8,0,3,2,0
4921045,0,0,20,0,0,0,0
4921049,0,0,1,0,1,2,0
4921055,0,0,2,1,3,3,2
4921063,0,6,12,0,3,2,0
4921064,0,6,6,0,3,1,0
4921067,0,8,10,1,4,4,0
4921069,0,0,23,0,3,4,0
4921071,0,4,10,0,1,0,0
4921078,0,8,31,0,2,0,0
4921082,10,8,22,0,7,6,0
4921086,4,4,11,0,2,3,0
4921089,0,0,51,0,5,6,1
4921091,0,4,2,0,3,4,0
4921093,0,0,31,1,4,5,3
4921094,0,4,23,0,4,3,0
4921095,0,4,0,1,3,2,0
4921096,0,0,9,0,1,1,0
4921097,0,0,24,0,4,3,2
4921102,24,11,43,6,4,6,2
4921104,22,11,38,7,1,0,0
4921105,0,0,22,1,6,6,1
4921108,0,14,21,0,4,3,2
4921113,20,10,52,6,5,5,1
4921115,0,3,2,1,4,5,3
4921118,0,0,20,0,1,3,0
4921121,0,5,29,0,3,5,0
4921124,0,0,21,1,4,4,0
4921127,22,16,35,8,6,5,2
4921128,12,7,43,3,4,5,0
4941001,0,0,6,0,2,1,0
4941002,16,5,34,4,6,5,2
4941003,0,0,6,0,2,1,0
4941005,5,0,2,0,0,0,0
4941006,0,0,4,0,1,0,0
4941008,2,0,3,0,0,0,0
4941010,0,7,14,0,5,4,1
4941011,0,0,8,0,2,2,0
4941015,0,2,3,0,1,0,0
4941016,0,7,0,0,1,0,0
4941017,0,0,0,0,2,1,0
4941019,4,9,0,0,4,1,0
4941020,0,0,0,0,3,2,0
4941021,0,0,70,0,0,0,0
4941023,4,7,70,0,3,0,0
4941024,0,2,70,0,2,1,0
4941025,2,6,8,0,3,1,0
4941030,0,0,0,0,2,2,0
4941031,0,1,34,0,4,1,0
4941032,12,5,5,0,4,1,0
4941033,0,0,4,0,5,3,2
4941036,4,0,0,0,1,4,1
4941039,0,1,25,0,5,5,0
4941041,0,3,1,0,1,0,0
4941044,4,7,2,0,4,0,0
4941045,12,0,2,0,4,1,0
4941046,0,2,10,0,4,1,0
4941047,0,0,70,0,3,3,1
4941049,0,0,10,0,3,3,0
4941052,4,0,7,0,1,1,0
4941053,1,0,7,0,2,5,0
4941054,13,7,0,0,3,1,0
4941055,4,1,35,0,3,4,0
4941057,6,0,16,2,4,2,2
4941058,0,0,4,0,3,0,0
4941059,4,0,1,0,3,2,2
4941061,0,8,2,0,4,1,0
4941062,0,2,6,0,0,1,0
4941063,0,0,3,0,1,3,0
4941066,4,6,26,0,6,2,0
4941067,0,0,0,0,4,0,0
4941068,6,0,27,3,2,4,2
4941069,0,3,12,0,2,3,0
4941071,0,0,5,0,2,0,0
4941072,0,0,11,0,3,3,0
4941073,0,10,0,0,4,3,0
4941074,0,0,70,0,2,2,0
4941077,0,0,10,0,3,1,0
4941079,0,4,5,0,2,0,0
4941080,4,1,6,0,4,4,0
4941082,16,6,26,7,6,6,1
4951003,0,0,0,0,3,2,0
4951004,0,2,0,0,0,0,0
4951005,0,7,0,0,4,1,0
4951006,0,5,17,0,3,5,2
4951008,6,6,7,0,2,3,0
4951009,0,2,0,0,0,0,0
4951015,0,0,8,2,3,1,0
4951017,0,0,12,0,0,3,0
4951019,1,0,0,0,0,0,0
