"","SalePrice","YearBuilt","YrSold","MonthSold","Size.sqf.","Floor","HallwayType","HeatingType","AptManageType","N_Parkinglot.Ground.","N_Parkinglot.Basement.","TimeToBusStop","TimeToSubway","N_APT","N_manager","N_elevators","SubwayStation","N_FacilitiesNearBy.PublicOffice.","N_FacilitiesNearBy.Hospital.","N_FacilitiesNearBy.Dpartmentstore.","N_FacilitiesNearBy.Mall.","N_FacilitiesNearBy.ETC.","N_FacilitiesNearBy.Park.","N_SchoolNearBy.Elementary.","N_SchoolNearBy.Middle.","N_SchoolNearBy.High.","N_SchoolNearBy.University.","N_FacilitiesInApt","N_FacilitiesNearBy.Total.","N_SchoolNearBy.Total."
"29",167964,2006,2007,9,903,10,"terraced","individual_heating","management_in_trust",123,181,"5min~10min","0-5min",3,3,11,"Myung-duk",3,1,1,1,2,0,4,3,3,1,4,8,11
"30",198230,2007,2007,9,868,13,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"31",74336,1997,2007,10,644,15,"mixed","individual_heating","management_in_trust",82,56,"5min~10min","15min~20min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"33",61946,1985,2007,10,676,7,"corridor","individual_heating","self_management",80,76,"0~5min","5min~10min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"35",221238,1993,2007,10,1761,15,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"38",138053,1993,2007,10,914,9,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"39",39823,1992,2007,10,355,5,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"40",36283,1992,2007,10,355,1,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"41",92920,1993,2007,10,644,18,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"43",134513,1993,2007,10,914,16,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"44",77876,1992,2007,10,644,7,"mixed","individual_heating","self_management",142,79,"5min~10min","15min~20min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"46",141592,1992,2007,10,1448,11,"mixed","individual_heating","self_management",142,79,"5min~10min","15min~20min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"47",98230,1993,2007,10,644,12,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"48",35398,1992,2007,10,355,8,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"50",95575,1993,2007,10,644,14,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"51",147787,2005,2007,10,743,8,"mixed","individual_heating","management_in_trust",67,798,"0~5min","5min~10min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15
"53",197345,2007,2007,10,868,7,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"59",383185,2007,2007,11,1444,16,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"60",462831,2007,2007,11,1690,22,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"61",407079,2007,2007,11,1629,4,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"63",315929,2007,2007,11,1334,3,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"64",289380,2007,2007,11,1273,3,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"65",348672,2007,2007,11,1483,3,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"66",465486,2007,2007,11,1690,25,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"67",393805,2007,2007,11,1629,3,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"68",408849,2007,2007,11,1690,3,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"71",326548,2007,2007,11,1334,4,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"72",348672,2007,2007,11,1483,4,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"73",371681,2007,2007,11,1483,6,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"77",360176,2007,2007,11,1483,4,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"78",360176,2007,2007,11,1483,6,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"79",95132,1986,2007,11,910,15,"corridor","individual_heating","management_in_trust",100,18,"0~5min","5min~10min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"80",110619,1993,2007,11,914,1,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"82",232212,2007,2007,11,1103,24,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"84",172566,1993,2007,11,1761,4,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"85",194690,1993,2007,11,2337,18,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"86",36283,1992,2007,11,355,4,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"87",60176,1992,2007,11,576,14,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"89",61946,1992,2007,11,576,8,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"90",81858,1992,2007,11,644,16,"mixed","individual_heating","self_management",142,79,"5min~10min","15min~20min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"91",60176,1992,2007,11,576,11,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"92",191150,2007,2007,11,868,8,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"94",162831,1986,2007,11,1131,5,"terraced","central_heating","management_in_trust",713,0,"0~5min","10min~15min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6
"96",94690,1986,2007,12,910,16,"corridor","individual_heating","management_in_trust",100,18,"0~5min","5min~10min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"97",242920,2006,2007,12,1437,4,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"98",307964,2006,2007,12,1743,15,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"101",132743,1993,2007,12,914,16,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"102",176991,2007,2007,12,914,30,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"103",323982,2007,2007,12,1448,30,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"104",92035,1993,2007,12,644,15,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"105",115044,1993,2007,12,914,9,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"106",137168,1993,2007,12,914,21,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"108",97345,1993,2007,12,644,17,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"109",199469,2007,2007,12,1103,17,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"111",82300,1993,2007,12,644,8,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"113",201769,2007,2007,12,868,24,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"114",185840,1986,2007,12,1131,5,"terraced","central_heating","management_in_trust",713,0,"0~5min","10min~15min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6
"115",174336,1986,2007,12,1131,11,"terraced","central_heating","management_in_trust",713,0,"0~5min","10min~15min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6
"116",319469,2007,2007,12,1387,30,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"117",170796,1986,2007,12,1377,2,"terraced","central_heating","management_in_trust",713,0,"0~5min","10min~15min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6
"119",72566,1985,2008,1,676,6,"corridor","individual_heating","self_management",80,76,"0~5min","5min~10min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"120",448672,2007,2008,1,1690,18,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"124",44247,1986,2008,1,508,1,"corridor","individual_heating","management_in_trust",100,18,"0~5min","5min~10min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"125",51327,1986,2008,1,508,11,"corridor","individual_heating","management_in_trust",100,18,"0~5min","5min~10min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"127",265486,2006,2008,1,1437,28,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"130",84070,1993,2008,1,644,21,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"131",212389,2005,2008,1,1184,17,"mixed","individual_heating","management_in_trust",67,798,"0~5min","5min~10min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15
"132",225663,2007,2008,1,1103,14,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"133",151327,2005,2008,1,743,10,"mixed","individual_heating","management_in_trust",67,798,"0~5min","5min~10min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15
"134",91150,1993,2008,1,644,20,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"135",131415,2005,2008,1,743,3,"mixed","individual_heating","management_in_trust",67,798,"0~5min","5min~10min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15
"139",80530,1993,2008,1,644,2,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"140",86283,1993,2008,1,644,12,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"142",207964,1986,2008,1,1377,10,"terraced","central_heating","management_in_trust",713,0,"0~5min","10min~15min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6
"143",198230,2007,2008,1,868,11,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"145",194690,2007,2008,1,868,10,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"147",119292,1986,2008,1,914,4,"terraced","central_heating","management_in_trust",713,0,"0~5min","10min~15min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6
"149",221238,2006,2008,1,1192,4,"terraced","individual_heating","management_in_trust",123,181,"5min~10min","0-5min",3,3,11,"Myung-duk",3,1,1,1,2,0,4,3,3,1,4,8,11
"150",150442,1986,2008,1,1131,3,"terraced","central_heating","management_in_trust",713,0,"0~5min","10min~15min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6
"152",110619,1997,2008,2,914,13,"mixed","individual_heating","management_in_trust",82,56,"5min~10min","15min~20min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"156",357522,2007,2008,2,1334,25,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"157",337168,2007,2008,2,1273,27,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"159",197345,2006,2008,2,914,15,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"160",101327,1993,2008,2,644,11,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"162",243362,1993,2008,2,2337,14,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"163",69026,1992,2008,2,640,11,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"164",79646,1993,2008,2,644,4,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"165",295575,2007,2008,2,1394,20,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"166",64601,1992,2008,2,576,10,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"167",127433,1993,2008,2,914,14,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"168",66371,1992,2008,2,640,1,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"169",160637,2007,2008,2,914,11,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"170",35398,1992,2008,2,355,15,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"173",176991,2007,2008,2,868,15,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"174",188495,2007,2008,2,868,3,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"175",176106,2006,2008,2,903,1,"terraced","individual_heating","management_in_trust",123,181,"5min~10min","0-5min",3,3,11,"Myung-duk",3,1,1,1,2,0,4,3,3,1,4,8,11
"177",176106,2006,2008,2,903,1,"terraced","individual_heating","management_in_trust",123,181,"5min~10min","0-5min",3,3,11,"Myung-duk",3,1,1,1,2,0,4,3,3,1,4,8,11
"179",151769,1986,2008,2,914,11,"terraced","central_heating","management_in_trust",713,0,"0~5min","10min~15min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6
"180",150442,1986,2008,2,1131,1,"terraced","central_heating","management_in_trust",713,0,"0~5min","10min~15min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6
"182",63274,1997,2008,3,558,11,"mixed","individual_heating","management_in_trust",82,56,"5min~10min","15min~20min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"185",59734,1985,2008,3,587,9,"corridor","individual_heating","self_management",80,76,"0~5min","5min~10min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"186",60176,1985,2008,3,587,5,"corridor","individual_heating","self_management",80,76,"0~5min","5min~10min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"187",327433,2007,2008,3,1273,22,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"190",370796,2007,2008,3,1483,18,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"191",347787,2007,2008,3,1690,11,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"192",462831,2007,2008,3,1690,22,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"195",51327,1986,2008,3,508,2,"corridor","individual_heating","management_in_trust",100,18,"0~5min","5min~10min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"196",269911,2006,2008,3,1149,28,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"197",256637,2006,2008,3,1437,3,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"198",272566,2006,2008,3,1412,22,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"199",178761,2005,2008,3,914,24,"mixed","individual_heating","management_in_trust",67,798,"0~5min","5min~10min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15
"200",194690,2007,2008,3,1103,3,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"202",37787,1992,2008,3,355,15,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"204",70796,1992,2008,3,644,4,"mixed","individual_heating","self_management",142,79,"5min~10min","15min~20min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"205",84955,1993,2008,3,644,15,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"206",92035,1993,2008,3,644,8,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"207",90707,1993,2008,3,644,6,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"208",194690,1993,2008,3,1288,16,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"210",122389,1993,2008,3,914,18,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"211",123893,1993,2008,3,914,2,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"212",341592,2007,2008,3,1448,29,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"214",124778,1993,2008,3,914,21,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
